date,srcversion,host,delay_ns,condition,peers,load_target_gbps,load_actual_gbps,latency_tool,lat_samples,p50_us,p99_us,p999_us,softirq_ce,system_ce,total_busy_ce,polls,wasted,wasted_frac,retransmits,drops,status,notes
2026-07-06T03:36:05-05:00,EA06EE82AFA1C813458F113,dut,10000,both,8,2,0.9613,sockperf,76328,177.278,529.380,1013.881,1.260,9.163,9.216,958039,34445,0.0360,3,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.519
2026-07-06T03:37:22-05:00,EA06EE82AFA1C813458F113,dut,10000,off,8,2,1.0501,sockperf,74899,181.551,462.388,969.485,1.188,8.869,8.919,1524498,527554,0.3461,393,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.475
2026-07-06T03:38:38-05:00,EA06EE82AFA1C813458F113,dut,0,off,8,2,0.9817,sockperf,85267,160.477,434.567,767.936,0.878,5.531,5.579,1369157,470820,0.3439,1076,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.509
2026-07-06T03:39:55-05:00,EA06EE82AFA1C813458F113,dut,2000,off,8,2,1.0020,sockperf,88931,148.399,432.940,916.648,1.216,7.224,7.264,1351675,472526,0.3496,17,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.499
2026-07-06T03:41:11-05:00,EA06EE82AFA1C813458F113,dut,1000,both,8,2,1.0501,sockperf,89201,145.556,460.987,1010.402,1.324,7.782,7.840,1202590,167980,0.1397,40,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.475
2026-07-06T03:42:28-05:00,EA06EE82AFA1C813458F113,dut,2000,off,8,2,1.0286,sockperf,73282,177.456,567.140,1108.385,1.239,8.990,9.044,1237201,455628,0.3683,0,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.486
2026-07-06T03:43:44-05:00,EA06EE82AFA1C813458F113,dut,5000,off,8,2,1.0297,sockperf,83843,160.676,419.187,851.121,1.227,7.791,7.844,1382055,460789,0.3334,648,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.485
2026-07-06T03:45:01-05:00,EA06EE82AFA1C813458F113,dut,0,off,8,2,1.0224,sockperf,86415,146.130,495.595,978.685,1.213,8.767,8.819,1389780,511446,0.3680,95,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.489
2026-07-06T03:46:17-05:00,EA06EE82AFA1C813458F113,dut,1000,both,8,2,1.0981,sockperf,87831,151.897,447.609,898.795,1.267,7.021,7.072,1076212,138176,0.1284,781,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.451
2026-07-06T03:47:34-05:00,EA06EE82AFA1C813458F113,dut,10000,off,8,2,1.1104,sockperf,79832,168.452,470.587,800.243,1.322,8.859,8.913,1344724,448437,0.3335,11,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.445
2026-07-06T03:48:50-05:00,EA06EE82AFA1C813458F113,dut,1000,both,8,2,1.0093,sockperf,81587,156.538,503.253,971.960,1.261,8.328,8.382,847017,106850,0.1261,218,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.495
