cond,rtt_ms
move,1.45
move,1.57
move,1.54
move,1.60
move,1.57
move,1.99
move,2.00
move,1.70
move,2.16
move,1.81
move,1.78
move,1.82
move,1.68
move,1.87
move,1.80
move,2.22
move,1.69
move,1.75
move,1.62
move,2.05
move,2.08
move,2.09
move,1.95
move,0.862
move,1.19
move,1.01
move,1.02
move,1.27
move,1.13
move,1.21
move,1.10
move,1.04
move,1.52
move,1.48
move,1.76
move,1.44
move,1.50
move,1.64
move,1.60
move,1.55
move,1.64
move,1.52
move,1.89
move,1.52
move,1.33
move,1.97
move,2.19
move,2.17
move,1.38
move,1.72
move,2.31
move,2.28
move,2.21
move,1.44
move,1.09
move,0.944
move,1.24
move,2.03
move,1.80
move,1.79
move,1.66
move,1.36
move,1.57
move,1.40
move,1.28
move,1.78
move,1.44
move,1.47
move,1.72
move,1.74
move,2.02
move,1.51
move,1.91
move,1.88
move,2.31
move,1.36
move,1.37
move,1.79
move,1.73
move,1.49
move,1.72
move,1.61
move,1.81
move,1.62
move,1.40
move,1.59
move,1.19
move,1.23
move,1.49
move,1.45
move,1.54
move,1.78
move,1.87
move,1.35
move,2.07
move,2.19
move,1.64
move,1.42
move,1.40
move,1.52
move,1.49
move,1.61
move,1.80
move,1.52
move,1.48
move,1.81
move,1.56
move,1.84
move,2.45
move,1.51
move,1.27
move,1.94
move,1.74
move,2.19
move,2.01
move,1.24
move,1.36
move,1.04
move,1.11
move,1.52
move,1.45
move,1.56
move,1.56
move,1.43
move,1.32
move,1.69
move,1.28
move,1.54
move,2.02
move,1.53
move,2.24
move,1.48
move,1.31
move,1.48
move,1.45
move,1.90
move,2.04
move,2.18
move,2.36
move,1.76
move,0.893
move,1.08
move,0.725
move,1.43
move,1.78
move,1.02
move,1.24
move,1.67
move,1.37
move,1.34
move,1.58
move,1.70
move,2.01
move,1.40
move,1.48
move,1.68
move,1.56
move,1.61
move,1.33
move,1.06
move,1.05
move,1.24
move,1.25
move,1.18
move,1.47
move,1.31
move,1.73
move,1.36
move,1.40
move,1.86
move,1.69
move,1.91
move,1.89
move,1.72
move,2.12
move,1.90
move,1.81
move,2.16
move,2.37
move,2.30
move,2.16
move,0.543
move,0.692
move,0.893
move,1.40
move,1.13
move,1.32
move,1.08
move,1.10
move,1.27
move,1.36
move,1.47
move,1.48
move,1.21
move,1.44
move,1.64
move,1.48
move,1.58
move,1.40
move,1.39
move,1.80
move,1.66
move,2.03
move,1.70
move,1.37
move,1.41
move,1.22
move,1.52
move,1.68
move,1.38
move,1.88
move,1.85
move,1.68
move,2.00
move,1.43
move,1.64
move,2.00
move,1.94
move,1.71
move,1.61
move,2.38
move,1.86
move,1.00
move,0.980
move,0.936
move,0.865
move,1.49
move,1.53
move,0.990
move,1.26
move,1.56
move,1.23
move,1.39
move,1.73
move,1.61
move,1.39
move,1.63
move,1.25
move,1.48
move,1.89
move,1.85
move,1.46
move,1.99
move,1.71
move,1.48
move,1.68
move,1.67
move,1.67
move,1.94
move,2.16
move,2.30
move,1.70
move,1.28
move,0.888
move,0.870
move,1.24
move,1.69
move,1.40
move,1.29
batch,1.03
batch,1.50
batch,1.33
batch,1.81
batch,1.40
batch,1.33
batch,1.75
batch,1.31
batch,1.59
batch,1.55
batch,1.68
batch,2.29
batch,1.78
batch,1.85
batch,1.52
batch,2.17
batch,1.76
batch,1.88
batch,1.41
batch,2.07
batch,1.92
batch,2.03
batch,2.02
batch,1.44
batch,0.912
batch,1.53
batch,0.966
batch,1.30
batch,1.37
batch,1.02
batch,1.38
batch,1.42
batch,1.55
batch,1.08
batch,1.17
batch,1.71
batch,1.67
batch,1.04
batch,1.62
batch,1.69
batch,1.89
batch,1.79
batch,1.63
batch,1.53
batch,1.63
batch,1.59
batch,1.25
batch,1.75
batch,2.18
batch,1.78
batch,2.49
batch,1.83
batch,1.56
batch,1.94
batch,1.86
batch,1.33
batch,1.76
batch,1.64
batch,1.65
batch,1.79
batch,1.61
batch,1.99
batch,1.46
batch,1.29
batch,1.82
batch,1.64
batch,1.50
batch,1.85
batch,1.51
batch,1.30
batch,1.43
batch,1.90
batch,1.37
batch,1.93
batch,1.80
batch,1.96
batch,1.95
batch,2.02
batch,1.85
batch,1.64
batch,1.59
batch,1.63
batch,1.70
batch,1.78
batch,1.81
batch,1.68
batch,1.37
batch,1.88
batch,1.38
batch,1.52
batch,1.72
batch,0.961
batch,1.46
batch,1.96
batch,1.66
batch,1.87
batch,1.83
batch,2.27
batch,1.49
batch,1.37
batch,2.24
batch,2.30
batch,1.59
batch,1.33
batch,1.95
batch,1.29
batch,1.67
batch,1.35
batch,1.39
batch,1.56
batch,1.56
batch,1.74
batch,1.58
batch,2.29
batch,2.02
batch,1.52
batch,1.78
batch,1.56
batch,2.22
batch,1.69
batch,1.14
batch,1.44
batch,1.57
batch,1.98
batch,1.59
batch,1.66
batch,1.98
batch,1.62
batch,1.80
batch,1.52
batch,1.46
batch,1.88
batch,1.81
batch,1.46
batch,1.31
batch,1.15
batch,1.43
batch,1.61
batch,1.45
batch,2.20
batch,1.96
batch,1.47
batch,1.49
batch,1.96
batch,1.93
batch,1.75
batch,1.41
batch,1.38
batch,1.67
batch,1.36
batch,1.43
batch,1.83
batch,1.23
batch,2.05
batch,1.69
batch,1.66
batch,1.76
batch,1.72
batch,1.80
batch,1.65
batch,1.88
batch,1.69
batch,2.56
batch,2.26
batch,1.61
batch,0.979
batch,0.621
batch,0.998
batch,1.13
batch,1.49
batch,1.27
batch,0.687
batch,1.42
batch,1.26
batch,1.55
batch,1.64
batch,1.38
batch,1.42
batch,1.34
batch,1.10
batch,1.53
batch,1.43
batch,1.84
batch,1.42
batch,1.54
batch,1.99
batch,1.68
batch,1.71
batch,2.01
batch,1.76
batch,2.03
batch,1.71
batch,1.82
batch,1.69
batch,1.74
batch,2.08
batch,2.28
batch,1.17
batch,1.14
batch,1.05
batch,0.840
batch,1.58
batch,1.15
batch,1.06
batch,1.16
batch,1.68
batch,1.41
batch,1.43
batch,1.60
batch,1.62
batch,1.40
batch,1.64
batch,1.88
batch,1.29
batch,1.77
batch,1.56
batch,1.79
batch,1.56
batch,1.97
batch,1.96
batch,2.27
batch,1.98
batch,0.982
batch,0.615
batch,1.01
batch,1.14
batch,0.908
batch,1.22
batch,1.39
batch,0.923
batch,1.46
batch,1.28
batch,1.71
batch,1.85
batch,1.57
batch,1.57
batch,1.48
batch,1.84
batch,1.48
batch,1.89
batch,1.71
batch,1.99
batch,1.83
batch,1.62
batch,1.86
batch,2.01
batch,1.66
batch,1.92
batch,1.71
batch,1.90
batch,2.01
batch,1.86
batch,1.10
batch,0.886
batch,0.688
batch,0.989
batch,1.22
batch,1.35
batch,1.54
batch,1.61
batch,1.60
batch,1.75
batch,1.65
batch,1.67
batch,1.34
batch,1.47
batch,1.52
batch,1.32
batch,1.56
batch,1.69
batch,2.19
batch,1.83
batch,1.86
batch,1.12
batch,1.71
batch,1.51
batch,1.54
batch,1.71
batch,2.23
batch,1.49
batch,1.98
batch,1.90
batch,2.26
batch,2.31
batch,2.16
batch,1.28
batch,0.909
batch,1.02
batch,1.10
batch,1.58
batch,1.46
batch,1.39
batch,1.15
batch,1.40
batch,1.11
batch,1.39
batch,1.38
batch,1.57
batch,1.65
batch,1.72
batch,1.65
batch,1.61
batch,1.12
batch,1.94
batch,1.65
batch,1.77
batch,1.57
batch,1.63
batch,1.76
batch,1.62
batch,1.88
batch,1.80
batch,1.81
batch,1.85
batch,2.01
batch,1.56
batch,1.86
batch,2.33
batch,2.33
batch,1.24
batch,0.495
batch,0.538
batch,1.11
batch,1.53
batch,1.48
batch,1.07
